sample_name,tilt_deg,theta_initial_deg_used_for_q,qz_map_source,qr_integration_source,solid_angle_corrected,m,qr,qr_original,qr_fit_count,qr_fit_sample_count,qr_fit_method,branch,phi_window,delta_qr,qz_bin,qz_min,qz_max,qz_center,pixel_count,acceptance_sum,acceptance_source,background_sum_raw,background_sum,fit_sum,background_mean_raw,background_mean,fit_mean,background_weighted_sum_raw,background_weighted_sum,fit_weighted_sum,background_density_raw,qr_sideband_background_density,qr_sideband_pixel_count,qr_sideband_inner_delta_qr,qr_sideband_outer_delta_qr,qr_sideband_percentile,qr_transverse_background_subtracted,background_density,fit_density,two_theta_min,two_theta_max,two_theta_mean,smoothed_background_density
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,15,0.8012296897982817,0.8253631141897962,0.813296401994039,322,322.0,pixel_count,30796.94774303896,30796.94774303896,0.0,95.64269485415826,95.64269485415826,0.0,30796.94774303896,30796.94774303896,0.0,95.64269485415826,,0,,,,False,95.64269485415826,0.0,24.940143585205078,28.394222259521484,26.68415665694736,107.38424020608198
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,16,0.8253631141897962,0.8494965385813108,0.8374298263855535,323,323.0,pixel_count,46732.18141286974,46732.18141286974,0.0,144.68167620083508,144.68167620083508,0.0,46732.18141286974,46732.18141286974,0.0,144.68167620083508,,0,,,,False,144.68167620083508,0.0,25.092161178588867,28.60134506225586,26.864545455450873,161.97242484821732
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,17,0.8494965385813108,0.8736299629728252,0.8615632507770681,326,326.0,pixel_count,79080.4816040716,79080.4816040716,0.0,242.57816442966748,242.57816442966748,0.0,79080.4816040716,79080.4816040716,0.0,242.57816442966748,,0,,,,False,242.57816442966748,0.0,25.3012752532959,28.73231315612793,27.037968022886385,229.4443610159441
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,18,0.8736299629728252,0.8977633873643397,0.8856966751685824,325,325.0,pixel_count,104032.86139494838,104032.86139494838,0.0,320.10111198445657,320.10111198445657,0.0,104032.86139494838,104032.86139494838,0.0,320.10111198445657,,0,,,,False,320.10111198445657,0.0,25.49049949645996,28.944717407226562,27.227309998915846,266.9571846979867
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,19,0.8977633873643397,0.9218968117558544,0.909830099560097,331,331.0,pixel_count,85549.58071121131,85549.58071121131,0.0,258.45794776801,258.45794776801,0.0,85549.58071121131,85549.58071121131,0.0,258.45794776801,,0,,,,False,258.45794776801,0.0,25.704198837280273,29.08069610595703,27.409986064429315,242.5333162286908
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,20,0.9218968117558544,0.9460302361473689,0.9339635239516116,333,333.0,pixel_count,56966.41303031898,56966.41303031898,0.0,171.0703094003573,171.0703094003573,0.0,56966.41303031898,56966.41303031898,0.0,171.0703094003573,,0,,,,False,171.0703094003573,0.0,25.867124557495117,29.297950744628906,27.60226782285103,183.26364568528848
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,21,0.9460302361473689,0.9701636605388833,0.9580969483431261,332,332.0,pixel_count,39331.534457523034,39331.534457523034,0.0,118.46847728169588,118.46847728169588,0.0,39331.534457523034,39331.534457523034,0.0,118.46847728169588,,0,,,,False,118.46847728169588,0.0,26.11783218383789,29.438596725463867,27.79581516641474,131.49980128686195
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,22,0.9701636605388833,0.9942970849303978,0.9822303727346405,340,340.0,pixel_count,31875.340896711852,31875.340896711852,0.0,93.7510026373878,93.7510026373878,0.0,31875.340896711852,31875.340896711852,0.0,93.7510026373878,,0,,,,False,93.7510026373878,0.0,26.285816192626953,29.660280227661133,27.989677162058335,100.64482391912867
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,23,0.9942970849303978,1.0184305093219124,1.0063637971261552,336,336.0,pixel_count,27444.18626124412,27444.18626124412,0.0,81.67912577751225,81.67912577751225,0.0,27444.18626124412,27444.18626124412,0.0,81.67912577751225,,0,,,,False,81.67912577751225,0.0,26.54116439819336,29.883962631225586,28.2003086179365,84.87089381951017
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,24,1.0184305093219124,1.0425639337134267,1.0304972215176695,346,346.0,pixel_count,26015.007608631495,26015.007608631495,0.0,75.18788326194074,75.18788326194074,0.0,26015.007608631495,26015.007608631495,0.0,75.18788326194074,,0,,,,False,75.18788326194074,0.0,26.713762283325195,30.030961990356445,28.38861072941589,76.93613927890723
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,25,1.0425639337134267,1.0666973581049413,1.0546306459091839,342,342.0,pixel_count,24700.252448611307,24700.252448611307,0.0,72.22296037605645,72.22296037605645,0.0,24700.252448611307,24700.252448611307,0.0,72.22296037605645,,0,,,,False,72.22296037605645,0.0,26.973228454589844,30.25844955444336,28.62205777868477,72.87788990464193
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,26,1.0666973581049413,1.090830782496456,1.0787640703006987,346,346.0,pixel_count,24147.235718408807,24147.235718408807,0.0,69.78969860811794,69.78969860811794,0.0,24147.235718408807,24147.235718408807,0.0,69.78969860811794,,0,,,,False,69.78969860811794,0.0,27.150012969970703,30.43966293334961,28.79593490583372,71.05991681423583
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,27,1.090830782496456,1.1149642068879704,1.1028974946922132,349,349.0,pixel_count,24669.63605756409,24669.63605756409,0.0,70.68663626809195,70.68663626809195,0.0,24669.63605756409,24669.63605756409,0.0,70.68663626809195,,0,,,,False,70.68663626809195,0.0,27.413097381591797,30.640182495117188,29.04214940418526,71.04853287275513
