intrinsic_L,S_normalized_to_ordered_peak
2.1333333333333333,0.0040827355152692904
2.1414285714285715,0.013616718508043059
2.1495238095238092,0.025481731403731119
2.1576190476190473,0.036978091045167909
2.1657142857142855,0.046038363815503067
2.1738095238095236,0.051346300818487983
2.1819047619047618,0.052362239967487546
2.1899999999999999,0.049260961697892861
2.1980952380952377,0.042797212285480564
2.2061904761904758,0.034121035577068345
2.214285714285714,0.024569008256737412
2.2223809523809521,0.015458159723637824
2.2304761904761903,0.0079068759888890772
2.2385714285714284,0.0027019075663658404
2.2466666666666666,0.00022349239229357606
2.2547619047619043,0.00043252884950909279
2.2628571428571425,0.0029157236771244835
2.2709523809523806,0.006977669561498233
2.2790476190476188,0.011763677494099168
2.2871428571428569,0.016394433727069023
2.2952380952380951,0.020093383649767923
2.3033333333333332,0.022290044171427884
2.3114285714285709,0.022686785728509396
2.3195238095238091,0.021282338849325275
2.3276190476190473,0.018351556731492691
2.3357142857142854,0.014386956517629987
2.3438095238095236,0.010012493594552922
2.3519047619047617,0.0058832918010467807
2.3599999999999999,0.0025862972712342048
2.368095238095238,0.00055596542581102105
2.3761904761904757,1.6332114439642762e-05
2.3842857142857139,0.00095661000747472623
2.3923809523809521,0.0031424179231343764
2.4004761904761902,0.0061596119109155762
2.4085714285714284,0.0094831524113218966
2.4166666666666665,0.012560118395208897
2.4247619047619047,0.014894291748787734
2.4328571428571424,0.01611987308614881
2.4409523809523805,0.016053788123646568
2.4490476190476187,0.014719395215406285
2.4571428571428569,0.012338708546964932
2.465238095238095,0.0092948841064892356
2.4733333333333332,0.0060710179826471951
2.4814285714285713,0.003174675640334532
2.489523809523809,0.0010595415474789315
2.4976190476190472,5.5886514754343798e-05
2.5057142857142853,0.00032016637608779809
2.5138095238095235,0.0018111987959556531
2.5219047619047616,0.0042964309662218772
2.5299999999999998,0.0073873744216289387
2.538095238095238,0.010598978765802111
2.5461904761904761,0.013424159987309635
2.5542857142857138,0.015412403291531065
2.562380952380952,0.016240661167725011
2.5704761904761901,0.015765777394241436
2.5785714285714283,0.014050258783892945
2.5866666666666664,0.011357035754036116
2.5947619047619046,0.0081133694339752
2.6028571428571428,0.0048486401592946569
2.6109523809523805,0.0021147343313842647
2.6190476190476186,0.00040055056682101683
2.6271428571428568,5.3343402234030562e-05
2.6352380952380949,0.0012190023690800511
2.6433333333333331,0.0038109658511295101
2.6514285714285712,0.0075135837104395153
2.6595238095238094,0.011820877942684398
2.6676190476190471,0.016106466498817921
2.6757142857142853,0.019715637082781647
2.6838095238095234,0.022066877796648694
2.6919047619047616,0.022748153916608428
2.6999999999999997,0.021593218925782542
2.7080952380952379,0.018725352143957995
2.716190476190476,0.014559927435053166
2.7242857142857142,0.0097626701896903912
2.7323809523809519,0.0051666688598063634
2.7404761904761901,0.0016573553144378509
2.7485714285714282,3.9908578855971672e-05
2.7566666666666664,0.000907104822481717
2.7647619047619045,0.0045269553563051235
2.7728571428571427,0.010768237152677291
2.7809523809523808,0.019078242536752891
2.7890476190476186,0.028521105709162345
2.7971428571428567,0.037877556175573944
2.8052380952380949,0.045798787643325976
2.813333333333333,0.050999329173708176
2.8214285714285712,0.052467382785783404
2.8295238095238093,0.049666945034950727
2.8376190476190475,0.042704815705210779
2.8457142857142852,0.032437638797723094
2.8538095238095234,0.020499357550336231
2.8619047619047615,0.0092374402935756338
2.8699999999999997,0.0015561375932542753
2.8780952380952378,0.00067578412090513716
2.886190476190476,0.0098275326208528604
2.8942857142857141,0.031911666468313123
2.9023809523809523,0.069153685543535903
2.91047619047619,0.12279487552135217
2.9185714285714282,0.19285261090073494
2.9266666666666663,0.27798020785046418
2.9347619047619045,0.37544719047304215
2.9428571428571426,0.4812492345933525
2.9509523809523808,0.59034400277703158
2.9590476190476189,0.69699597427580717
2.9671428571428566,0.79520163566175472
2.9752380952380948,0.87915734199977846
2.9833333333333329,0.94372682217522952
2.9914285714285711,0.98486432949832015
2.9995238095238093,0.99995300276031274
3.0076190476190474,0.98802578054030554
3.0157142857142856,0.94984741578116194
3.0238095238095233,0.88784960232112653
