normal_tilt_alpha_deg,normal_azimuth_psi_deg,orientation_mass
12.310483490983621,90,0.00082974053613489509
12.310483490983621,101.25,0.00082974053613489509
12.310483490983621,112.5,0.00082974053613489509
12.310483490983621,123.74999999999999,0.00082974053613489509
12.310483490983621,135,0.00082974053613489509
12.310483490983621,146.25,0.00082974053613489509
12.310483490983621,157.5,0.00082974053613489509
12.310483490983621,168.75,0.00082974053613489509
12.310483490983621,180,0.00082974053613489509
12.310483490983621,191.25,0.00082974053613489509
12.310483490983621,202.5,0.00082974053613489509
12.310483490983621,213.75,0.00082974053613489509
12.310483490983621,225,0.00082974053613489509
12.310483490983621,236.25,0.00082974053613489509
12.310483490983621,247.49999999999997,0.00082974053613489509
12.310483490983621,258.75,0.00082974053613489509
12.310483490983621,270,0.00082974053613489509
12.310483490983621,281.25,0.00082974053613489509
12.310483490983621,292.5,0.00082974053613489509
12.310483490983621,303.75,0.00082974053613489509
12.310483490983621,315,0.00082974053613489509
12.310483490983621,326.25,0.00082974053613489509
12.310483490983621,337.5,0.00082974053613489509
12.310483490983621,348.75,0.00082974053613489509
14.285861588579557,0,0.00059328179509945272
14.285861588579557,11.25,0.00059328179509945272
14.285861588579557,22.5,0.00059328179509945272
14.285861588579557,33.75,0.00059328179509945272
14.285861588579557,45,0.00059328179509945272
14.285861588579557,56.25,0.00059328179509945272
14.285861588579557,67.5,0.00059328179509945272
14.285861588579557,78.75,0.00059328179509945272
14.285861588579557,90,0.00059328179509945272
14.285861588579557,101.25,0.00059328179509945272
14.285861588579557,112.5,0.00059328179509945272
14.285861588579557,123.74999999999999,0.00059328179509945272
14.285861588579557,135,0.00059328179509945272
14.285861588579557,146.25,0.00059328179509945272
14.285861588579557,157.5,0.00059328179509945272
14.285861588579557,168.75,0.00059328179509945272
14.285861588579557,180,0.00059328179509945272
14.285861588579557,191.25,0.00059328179509945272
14.285861588579557,202.5,0.00059328179509945272
14.285861588579557,213.75,0.00059328179509945272
14.285861588579557,225,0.00059328179509945272
14.285861588579557,236.25,0.00059328179509945272
14.285861588579557,247.49999999999997,0.00059328179509945272
14.285861588579557,258.75,0.00059328179509945272
14.285861588579557,270,0.00059328179509945272
14.285861588579557,281.25,0.00059328179509945272
14.285861588579557,292.5,0.00059328179509945272
14.285861588579557,303.75,0.00059328179509945272
14.285861588579557,315,0.00059328179509945272
14.285861588579557,326.25,0.00059328179509945272
14.285861588579557,337.5,0.00059328179509945272
14.285861588579557,348.75,0.00059328179509945272
15.929124067748742,0,0.00038214778770172752
15.929124067748742,11.25,0.00038214778770172752
15.929124067748742,22.5,0.00038214778770172752
15.929124067748742,33.75,0.00038214778770172752
15.929124067748742,45,0.00038214778770172752
15.929124067748742,56.25,0.00038214778770172752
15.929124067748742,67.5,0.00038214778770172752
15.929124067748742,78.75,0.00038214778770172752
15.929124067748742,90,0.00038214778770172752
15.929124067748742,101.25,0.00038214778770172752
15.929124067748742,112.5,0.00038214778770172752
15.929124067748742,123.74999999999999,0.00038214778770172752
15.929124067748742,135,0.00038214778770172752
15.929124067748742,146.25,0.00038214778770172752
15.929124067748742,157.5,0.00038214778770172752
15.929124067748742,168.75,0.00038214778770172752
15.929124067748742,180,0.00038214778770172752
15.929124067748742,191.25,0.00038214778770172752
15.929124067748742,202.5,0.00038214778770172752
15.929124067748742,213.75,0.00038214778770172752
15.929124067748742,225,0.00038214778770172752
15.929124067748742,236.25,0.00038214778770172752
15.929124067748742,247.49999999999997,0.00038214778770172752
15.929124067748742,258.75,0.00038214778770172752
15.929124067748742,270,0.00038214778770172752
15.929124067748742,281.25,0.00038214778770172752
15.929124067748742,292.5,0.00038214778770172752
15.929124067748742,303.75,0.00038214778770172752
15.929124067748742,315,0.00038214778770172752
