sample_name,tilt_deg,theta_initial_deg_used_for_q,qz_map_source,qr_integration_source,solid_angle_corrected,m,qr,qr_original,qr_fit_count,qr_fit_sample_count,qr_fit_method,branch,phi_window,delta_qr,qz_bin,qz_min,qz_max,qz_center,pixel_count,acceptance_sum,acceptance_source,background_sum_raw,background_sum,fit_sum,background_mean_raw,background_mean,fit_mean,background_weighted_sum_raw,background_weighted_sum,fit_weighted_sum,background_density_raw,qr_sideband_background_density,qr_sideband_pixel_count,qr_sideband_inner_delta_qr,qr_sideband_outer_delta_qr,qr_sideband_percentile,qr_transverse_background_subtracted,background_density,fit_density,two_theta_min,two_theta_max,two_theta_mean,smoothed_background_density
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,4,3.1613060814539744,3.1613060814539744,0,0,saved_q_group_rows_no_fit_points,+,+,0.13,88,2.5629696703788407,2.5871030947703555,2.575036382574598,3001,3001.0,pixel_count,42216.12023175423,42216.12023175423,2538.104183077812,14.067350960264655,14.067350960264655,0.845752810089241,42216.12023175423,42216.12023175423,2538.104183077812,14.067350960264655,,0,,,,False,14.067350960264655,0.845752810089241,61.006492614746094,64.5764389038086,62.875102108903626,14.10208911119803
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,4,3.1613060814539744,3.1613060814539744,0,0,saved_q_group_rows_no_fit_points,+,+,0.13,89,2.5871030947703555,2.61123651916187,2.5991698069661124,3096,3096.0,pixel_count,43695.333036721604,43695.333036721604,2690.7769181728363,14.113479663023774,14.113479663023774,0.8691139916578928,43695.333036721604,43695.333036721604,2690.7769181728363,14.113479663023774,,0,,,,False,14.113479663023774,0.8691139916578928,61.29550552368164,64.86734008789062,63.158186857730406,14.081309258710462
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,4,3.1613060814539744,3.1613060814539744,0,0,saved_q_group_rows_no_fit_points,+,+,0.13,90,2.61123651916187,2.635369943553384,2.623303231357627,3200,3200.0,pixel_count,45011.76284755801,45011.76284755801,2859.405425608158,14.06617588986188,14.06617588986188,0.8935641955025494,45011.76284755801,45011.76284755801,2859.405425608158,14.06617588986188,,0,,,,False,14.06617588986188,0.8935641955025494,61.580352783203125,65.13391876220703,63.43980091070907,14.039135804674672
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,4,3.1613060814539744,3.1613060814539744,0,0,saved_q_group_rows_no_fit_points,+,+,0.13,91,2.635369943553384,2.659503367944899,2.6474366557491416,3319,3319.0,pixel_count,46297.71586371308,46297.71586371308,3051.099558711052,13.949296735074745,13.949296735074745,0.9192827835827213,46297.71586371308,46297.71586371308,3051.099558711052,13.949296735074745,,0,,,,False,13.949296735074745,0.9192827835827213,61.861061096191406,65.42404174804688,63.726246410481714,13.958718038574757
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,4,3.1613060814539744,3.1613060814539744,0,0,saved_q_group_rows_no_fit_points,+,+,0.13,92,2.659503367944899,2.6836367923364137,2.6715700801406563,3427,3427.0,pixel_count,47663.348746836746,47663.348746836746,3242.313529908657,13.908184635785453,13.908184635785453,0.9461084125791237,47663.348746836746,47663.348746836746,3242.313529908657,13.908184635785453,,0,,,,False,13.908184635785453,0.9461084125791237,62.14971923828125,65.69960021972656,64.01232368388865,13.838972853718985
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,4,3.1613060814539744,3.1613060814539744,0,0,saved_q_group_rows_no_fit_points,+,+,0.13,93,2.6836367923364137,2.707770216727928,2.6957035045321707,3553,3553.0,pixel_count,48503.12247436182,48503.12247436182,3460.89464533329,13.651315078627025,13.651315078627025,0.9740767366544583,48503.12247436182,48503.12247436182,3460.89464533329,13.651315078627025,,0,,,,False,13.651315078627025,0.9740767366544583,62.434024810791016,65.97938537597656,64.30136798525658,13.669186026299347
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,4,3.1613060814539744,3.1613060814539744,0,0,saved_q_group_rows_no_fit_points,+,+,0.13,94,2.707770216727928,2.731903641119443,2.7198369289236854,3683,3683.0,pixel_count,49583.80275781057,49583.80275781057,3694.454200923443,13.462884267665101,13.462884267665101,1.003110019256976,49583.80275781057,49583.80275781057,3694.454200923443,13.462884267665101,,0,,,,False,13.462884267665101,1.003110019256976,62.72575378417969,66.27159118652344,64.59008481642525,13.49795663644274
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,4,3.1613060814539744,3.1613060814539744,0,0,saved_q_group_rows_no_fit_points,+,+,0.13,95,2.731903641119443,2.756037065510957,2.7439703533152002,3817,3817.0,pixel_count,51086.29196655761,51086.29196655761,3943.6284512877464,13.383885765406763,13.383885765406763,1.0331748627947988,51086.29196655761,51086.29196655761,3943.6284512877464,13.383885765406763,,0,,,,False,13.383885765406763,1.0331748627947988,63.03512191772461,66.5666275024414,64.88276254132958,13.352812339504553
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,4,3.1613060814539744,3.1613060814539744,0,0,saved_q_group_rows_no_fit_points,+,+,0.13,96,2.756037065510957,2.7801704899024715,2.768103777706714,3976,3976.0,pixel_count,52327.561356976476,52327.561356976476,4231.149316906929,13.160855472076578,13.160855472076578,1.0641723634071754,52327.561356976476,52327.561356976476,4231.149316906929,13.160855472076578,,0,,,,False,13.160855472076578,1.0641723634071754,63.31731414794922,66.84744262695312,65.17788192719334,13.23340297440146
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,7,4.182014854841658,4.182014854841658,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,1,0.46336174831707855,0.48749517270859305,0.4754284605128358,2522,2522.0,pixel_count,32577.243058929707,32577.243058929707,976.6096322536469,12.917225637957854,12.917225637957854,0.38723617456528425,32577.243058929707,32577.243058929707,976.6096322536469,12.917225637957854,,0,,,,False,12.917225637957854,0.38723617456528425,60.263580322265625,64.53227233886719,62.54133292306944,12.899695288285853
