sample_name,tilt_deg,theta_initial_deg_used_for_q,target_source_label,m,qr,qr_original,qr_fit_count,qr_fit_sample_count,qr_fit_method,branch,phi_window,hkl,l,fit_l,display_l,fit_two_theta_deg,fit_phi_deg,projected_two_theta_deg,projected_phi_deg,projected_qz_marker,refined_two_theta_deg,refined_phi_deg,qz_marker,marker_source,hk,l_axis_slope,l_axis_intercept
PbI2,4.0,4.0,primary,4,3.1613060814539744,3.1613060814539744,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-2,0,3",2.852666557839692,2.852666557839692,2.852666557839692,64.50149841994455,-42.25,64.76892580465287,-43.25,2.754578566739099,63.61218804547053,-45.25,2.6436331272125244,local_peak_model_max,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,4,3.1613060814539744,3.1613060814539744,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-2,0,4",2.8939551707954645,2.8939551707954645,2.8939551707954645,71.19568872410306,-132.25,63.909106591513684,-44.74999984167334,2.6818962549820724,63.909106591513684,-44.74999984167334,2.6818962549820724,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,7,4.182014854841658,4.182014854841658,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-3,1,1",0.6861135784503812,0.6861135784503812,0.6861135784503812,62.23775489982695,-163.75,62.89844680512865,-82.25,0.6358375745097113,62.89844680512865,-82.25,0.6358375745097113,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,7,4.182014854841658,4.182014854841658,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-3,1,2",0.6861135784503812,0.6861135784503812,0.6861135784503812,60.31028365960953,-167.25,62.89844680512865,-82.25,0.6358375745097113,62.89844680512865,-82.25,0.6358375745097113,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,7,4.182014854841658,4.182014854841658,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-3,2,1",0.6861135784503812,0.6861135784503812,0.6861135784503812,58.88748537015551,-174.25,62.89844680512865,-82.25,0.6358375745097113,62.89844680512865,-82.25,0.6358375745097113,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,7,4.182014854841658,4.182014854841658,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-2,3,1",0.6861135784503812,0.6861135784503812,0.6861135784503812,59.84720300266709,-171.75,62.89844680512865,-82.25,0.6358375745097113,62.89844680512865,-82.25,0.6358375745097113,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,7,4.182014854841658,4.182014854841658,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-1,-2,1",0.6861135784503812,0.6861135784503812,0.6861135784503812,60.20407362283803,-172.75,62.89844680512865,-82.25,0.6358375745097113,62.89844680512865,-82.25,0.6358375745097113,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,7,4.182014854841658,4.182014854841658,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"1,-3,1",0.6861135784503812,0.6861135784503812,0.6861135784503812,60.4181959949406,-171.25,62.89844680512865,-82.25,0.6358375745097113,62.89844680512865,-82.25,0.6358375745097113,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,7,4.182014854841658,4.182014854841658,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"2,1,1",0.6861135784503812,0.6861135784503812,0.6861135784503812,58.90525776704861,-172.75,62.89844680512865,-82.25,0.6358375745097113,62.89844680512865,-82.25,0.6358375745097113,state_peak_record,,1.0790705141630506,0.0
,,,,0,,,,,,qz,,"0,0,3",3.237157777316941,3.237157777316941,3.237157777316941,,,,,2.9999501745516115,48.62362199829094,-2.75,2.9999501745516115,,0.0,1.0790705141630506,0.0
,,,,0,,,,,,qz,,"0,0,2",3.418761288478338,3.418761288478338,3.418761288478338,,,,,3.168246415416142,52.37076351008584,-5.25,3.168246415416142,,0.0,1.0790705141630506,0.0
