L,parratt_trace,kinematic_trace
6.814992025518338270e-01,3.783283204946728991e-03,3.192260768518035557e-02
6.830940988835721983e-01,3.677678581637518727e-03,3.074007466526896409e-02
6.846889952153106806e-01,3.608918289407972001e-03,2.316082890620693377e-02
6.862838915470490520e-01,3.575021751517484369e-03,2.188587600700926672e-02
6.878787878787875343e-01,3.541443584725712749e-03,2.107514114151173845e-02
6.894736842105260166e-01,3.475230431402300760e-03,2.029443893369365509e-02
6.910685805422643879e-01,3.410255242645637581e-03,2.029443893369365509e-02
6.926634768740028703e-01,3.346494872657771770e-03,2.029443893369365509e-02
6.942583732057412416e-01,3.283926608389776871e-03,2.029443893369365509e-02
6.958532695374797239e-01,3.192260768518035818e-03,2.010382469332666275e-02
6.974481658692182062e-01,3.103153641797168783e-03,1.991500078521518668e-02
6.990430622009565775e-01,3.045135044873413174e-03,1.954265686136598401e-02
7.006379585326950599e-01,2.988201201712298565e-03,1.899715317990559316e-02
7.022328548644334312e-01,2.932331831045617565e-03,1.778279410038922925e-02
7.038277511961719135e-01,2.904790088881426067e-03,1.680389023706288509e-02
7.054226475279103958e-01,2.850480227118562526e-03,1.618141116942961935e-02
7.070175438596487671e-01,2.797185778171926845e-03,1.572973157300798508e-02
7.086124401913872495e-01,2.744887757217141528e-03,1.242402438379872423e-02
7.102073365231256208e-01,2.744887757217141528e-03,1.185142279809135724e-02
7.118022328548641031e-01,2.693567534382573358e-03,1.141240168396790572e-02
7.133971291866024744e-01,2.643206828112886798e-03,1.109384176772557941e-02
7.149920255183409568e-01,2.593787698656703847e-03,1.109384176772557941e-02
7.165869218500794391e-01,2.521386041677241546e-03,1.109384176772557941e-02
7.181818181818178104e-01,2.474244553588842311e-03,1.048315007865518143e-02
7.197767145135562927e-01,2.451005367346472275e-03,1.028715022524396595e-02
7.213716108452946640e-01,2.382589262993237058e-03,1.019052881421936112e-02
7.229665071770331464e-01,2.360210943299064466e-03,9.906075629392972065e-03
7.245614035087716287e-01,2.316082890620693203e-03,9.539117464664620752e-03
7.261562998405100000e-01,2.272779884974119539e-03,9.014009942968718644e-03
7.277511961722484823e-01,2.251432942951668830e-03,8.680097234317452060e-03
