branch,bin,x_unit,x,valid,measured,background,net_measured,model_total,net_model
m1_minus,13,L_reciprocal_lattice_units,4.7000000000000028,1,71.715081875232485,19.820886710596554,51.894195164635931,60.626803066865186,40.805916356268632
m1_minus,14,L_reciprocal_lattice_units,4.9000000000000021,1,225.22605496837511,19.460626356734242,205.76542861164086,266.17979618059616,246.7191698238619
m1_minus,15,L_reciprocal_lattice_units,5.1000000000000032,1,274.69440802872032,19.09321139519119,255.60119663352913,262.54951334711706,243.45630195192587
m1_minus,16,L_reciprocal_lattice_units,5.3000000000000025,1,90.381448569962174,18.720232823565844,71.661215746396323,57.990432603270705,39.270199779704861
m1_minus,17,L_reciprocal_lattice_units,5.5000000000000036,1,39.393246274855521,18.342096317031782,21.051149957823739,21.863757388381934,3.5216610713501524
m1_minus,18,L_reciprocal_lattice_units,5.7000000000000028,1,27.859665427615212,17.958152072710263,9.9015133549049494,19.253994760615562,1.2958426879052993
m1_minus,19,L_reciprocal_lattice_units,5.9000000000000039,1,24.510869802187585,17.570982787602116,6.9398870145854694,18.332930178133658,0.76194739053154237
m1_minus,20,L_reciprocal_lattice_units,6.1000000000000032,1,22.135714920634847,17.18020100875852,4.9555139118763272,17.675511605824191,0.49531059706567149
m1_minus,21,L_reciprocal_lattice_units,6.3000000000000043,1,20.765072467261888,16.786405729418778,3.9786667378431098,17.111139035397478,0.32473330597870032
m1_minus,22,L_reciprocal_lattice_units,6.5000000000000036,1,18.874435421349311,16.390868188428996,2.4835672329203149,16.643398858094983,0.25253066966598681
m1_minus,23,L_reciprocal_lattice_units,6.7000000000000046,1,18.378055557531816,15.993435285888999,2.3846202716428166,16.546687177940431,0.55325189205143133
m1_minus,24,L_reciprocal_lattice_units,6.9000000000000039,1,18.757694546746546,15.595654239617447,3.1620403071290983,17.499459442168195,1.9038052025507479
m1_minus,25,L_reciprocal_lattice_units,7.100000000000005,1,18.970858028596524,15.197020583470648,3.773837445125876,16.88927097291954,1.6922503894488923
m1_minus,26,L_reciprocal_lattice_units,7.3000000000000043,1,17.646917641341823,14.798852429003867,2.8480652123379553,15.114318912480709,0.31546648347684147
m1_minus,27,L_reciprocal_lattice_units,7.5000000000000053,1,17.444102164449102,14.401597864653926,3.0425042997951763,14.535711521804739,0.13411365715081303
m1_minus,28,L_reciprocal_lattice_units,7.7000000000000046,1,17.76494930280284,14.006394258873035,3.758555043929805,15.459429120528997,1.4530348616559614
m1_minus,29,L_reciprocal_lattice_units,7.9000000000000057,1,21.797453980441105,13.611028863378531,8.1864251170625746,20.775784373461093,7.1647555100825624
m1_minus,30,L_reciprocal_lattice_units,8.100000000000005,1,20.687392642944189,13.21911229888347,7.4682803440607195,20.594949867968658,7.3758375690851885
m1_minus,31,L_reciprocal_lattice_units,8.300000000000006,1,15.300862386540004,12.82900939935138,2.4718529871886243,14.577157033944781,1.7481476345934013
m1_minus,32,L_reciprocal_lattice_units,8.5000000000000053,1,13.899968831866452,12.442737341015121,1.4572314908513313,12.806585105930138,0.36384776491501647
m1_minus,33,L_reciprocal_lattice_units,8.7000000000000064,1,13.634995867280367,12.058309829287213,1.576686037993154,12.322367958020822,0.26405812873360901
m1_minus,34,L_reciprocal_lattice_units,8.9000000000000057,1,13.32105753072122,11.678695880160474,1.6423616505607459,11.967630531160896,0.2889346510004227
