X,Measured,X,Model
1.53487527767,59.2088617218,1.53487527767,35.2131082849
1.55027545472,44.7937502216,1.55027545472,25.6010592837
1.56562736362,34.4381355695,1.56562736362,18.7944105779
1.580930195,27.2244985568,1.580930195,14.5898340931
1.59618313948,22.4956964702,1.59618313948,12.643417361
1.6113853877,19.5309894032,1.6113853877,12.3902940078
1.62653613027,18.2941363366,1.62653613027,13.5284875443
1.64163455783,18.9710737552,1.64163455783,15.9492477959
1.656679861,18.9329672231,1.656679861,19.7846306581
1.67167123041,21.7162081898,1.67167123041,25.46081032
1.68660785669,22.2840022114,1.68660785669,33.5687102172
1.70148893046,27.0952316379,1.70148893046,44.7002107058
1.71631364235,33.601440612,1.71631364235,59.069357933
1.73108118299,48.3355454668,1.73108118299,76.0727955532
1.745790743,69.8304857601,1.745790743,93.7763557298
1.76044151302,97.4079302563,1.76044151302,109.013479426
1.77503268366,128.907848141,1.77503268366,118.286590554
1.78956344556,156.332140935,1.78956344556,119.13465417
1.80403808205,158.81826224,1.80403808205,111.295564205
1.81850980723,142.695524556,1.81850980723,96.8613597879
1.83298567374,110.570607724,1.83298567374,79.2724507807
1.84745642614,72.5113092713,1.84745642614,61.7883137632
1.86191280899,42.7238262314,1.86191280899,46.5894306542
1.87634556685,28.0187466088,1.87634556685,34.5565356484
1.89074544429,18.9231831885,1.89074544429,25.6151733241
1.90510318587,14.0286148616,1.90510318587,19.2297180232
1.91940953617,14.4598739045,1.91940953617,14.7671587772
1.93365523973,12.5281836239,1.93365523973,11.6666157422
1.94783104113,13.2830446809,1.94783104113,9.53153328734
1.96192768492,9.58625860247,1.96192768492,8.11047492037
1.97593591568,10.3574310619,1.97593591568,7.26251018371
1.98984647797,11.854140457,1.98984647797,6.92506303532
2.00365011636,12.6040545156,2.00365011636,7.22693830668
2.0173375754,10.772724053,2.0173375754,8.1641231187
2.03089959966,11.5528016944,2.03089959966,10.124370644
2.0443269337,12.1361325703,2.0443269337,13.1106386789
2.05761032209,18.434592751,2.05761032209,17.0884251137
2.0707405094,20.5167698986,2.0707405094,21.438599261
2.08370824019,23.0309227342,2.08370824019,25.2583602259
2.09650425901,24.0519581997,2.09650425901,27.5138390729
2.1091588757,23.3933072403,2.1091588757,27.0249308042
2.12173938395,21.7153334289,2.12173938395,24.1779305729
2.13424566302,16.67249902,2.13424566302,19.5106375645
2.14667609255,12.7180672772,2.14667609255,14.3531270947
2.15902905217,10.5439073586,2.15902905217,9.77182810682
2.17130292155,9.95117688847,2.17130292155,6.69446706051
2.18349608032,9.39222608449,2.18349608032,4.30109705257
2.19560690812,6.42416713217,2.19560690812,3.0943433227
2.2076337846,8.98185438205,2.2076337846,2.68068605726
2.21957508941,8.81579285677,2.21957508941,2.30166124994
2.23142920219,10.7755963051,2.23142920219,2.27435834972
2.24319450259,8.94925390104,2.24319450259,2.47867301841
2.25486937024,12.1222079775,2.25486937024,2.57872037114
2.2664521848,14.8775901801,2.2664521848,3.58391790251
2.2779413259,10.5044469891,2.2779413259,4.74507778546
2.2893351732,11.0948926039,2.2893351732,7.52289178528
2.30063210633,16.6945401106,2.30063210633,12.4641702334
2.31183050495,22.6259995763,2.31183050495,19.8262594941
2.32292874869,26.5487464662,2.32292874869,31.058494708
2.33392521721,37.0038740724,2.33392521721,45.2679970619
2.34481829014,51.7943201175,2.34481829014,59.6888913691
2.35560634713,70.839555771,2.35560634713,74.0808331864
2.36628776782,91.916839007,2.36628776782,85.2891978659
2.37686093187,113.286272412,2.37686093187,90.7953745793
2.3873242189,128.227621274,2.3873242189,87.4956975512
2.39767600858,133.475151791,2.39767600858,78.4849003437
