m,branch,qz_center,gui_L,final_L,gui_background_density,final_data_density,pixel_count,delta_L,delta_density
1,-,2.778230055305146,2.986979166666667,2.986979166666667,26.254431259491366,26.254431259491366,979.0,0.0,0.0
1,+,0.4786848096797863,0.5130208333333334,0.5130208333333334,75.77633687076971,75.77633687076971,290.0,0.0,0.0
1,+,0.5029835309833288,0.5390625,0.5390625,75.34067854889442,75.34067854889442,294.0,0.0,0.0
1,+,0.5272822522868712,0.5651041666666666,0.5651041666666666,73.9546257028649,73.9546257028649,291.0,0.0,0.0
1,+,0.5515809735904137,0.5911458333333334,0.5911458333333334,73.97760717662246,73.97760717662246,297.0,0.0,0.0
1,+,0.5758796948939562,0.6171875000000001,0.6171875000000001,74.37907749235879,74.37907749235879,299.0,0.0,0.0
1,+,0.6001784161974986,0.6432291666666666,0.6432291666666666,74.99648558642387,74.99648558642387,300.0,0.0,0.0
1,+,0.6244771375010411,0.6692708333333334,0.6692708333333334,75.38394964084215,75.38394964084215,303.0,0.0,0.0
1,+,0.6487758588045835,0.6953125000000001,0.6953125000000001,77.77473402866175,77.77473402866175,301.0,0.0,0.0
1,+,0.6730745801081259,0.7213541666666666,0.7213541666666666,78.75905238045269,78.75905238045269,304.0,0.0,0.0
1,+,0.6973733014116684,0.7473958333333334,0.7473958333333334,79.45076334936194,79.45076334936194,310.0,0.0,0.0
1,+,0.7216720227152109,0.7734375000000001,0.7734375000000001,82.6901298757472,82.6901298757472,308.0,0.0,0.0
1,+,0.7459707440187533,0.7994791666666666,0.7994791666666666,86.16815493834193,86.16815493834193,307.0,0.0,0.0
1,+,0.7702694653222958,0.8255208333333334,0.8255208333333334,91.33553431076432,91.33553431076432,311.0,0.0,0.0
1,+,0.7945681866258383,0.8515625000000001,0.8515625000000001,99.00088888599602,99.00088888599602,313.0,0.0,0.0
1,+,0.8188669079293807,0.8776041666666666,0.8776041666666666,109.49325207134076,109.49325207134076,316.0,0.0,0.0
1,+,0.8431656292329232,0.9036458333333334,0.9036458333333334,127.8087277752575,127.8087277752575,319.0,0.0,0.0
1,+,0.8674643505364656,0.9296875000000001,0.9296875000000001,148.54866355306572,148.54866355306572,317.0,0.0,0.0
1,+,0.891763071840008,0.9557291666666666,0.9557291666666666,176.02568837975082,176.02568837975082,323.0,0.0,0.0
1,+,0.9160617931435504,0.9817708333333333,0.9817708333333333,203.09993102502384,203.09993102502384,324.0,0.0,0.0
1,+,0.940360514447093,1.0078125,1.0078125,198.74390525937682,198.74390525937682,326.0,0.0,0.0
1,+,0.9646592357506354,1.0338541666666667,1.0338541666666667,184.00973471094065,184.00973471094065,327.0,0.0,0.0
1,+,0.9889579570541778,1.0598958333333333,1.0598958333333333,171.99837259807552,171.99837259807552,331.0,0.0,0.0
1,+,1.0132566783577204,1.0859375,1.0859375,162.13471416225372,162.13471416225372,334.0,0.0,0.0
1,+,1.037555399661263,1.111979166666667,1.111979166666667,155.8033367883914,155.8033367883914,335.0,0.0,0.0
1,+,1.0618541209648051,1.1380208333333333,1.1380208333333333,151.42297868567968,151.42297868567968,340.0,0.0,0.0
1,+,1.0861528422683477,1.1640625000000002,1.1640625000000002,147.16082912314727,147.16082912314727,340.0,0.0,0.0
1,+,1.1104515635718901,1.1901041666666667,1.1901041666666667,146.1690101324541,146.1690101324541,344.0,0.0,0.0
1,+,1.1347502848754325,1.2161458333333333,1.2161458333333333,146.43994107649164,146.43994107649164,347.0,0.0,0.0
1,+,1.159049006178975,1.2421875000000002,1.2421875000000002,146.4736951123445,146.4736951123445,349.0,0.0,0.0
1,+,1.1833477274825175,1.2682291666666667,1.2682291666666667,149.71996273138632,149.71996273138632,355.0,0.0,0.0
1,+,1.2076464487860599,1.2942708333333333,1.2942708333333333,148.4016097031222,148.4016097031222,355.0,0.0,0.0
1,+,1.2319451700896025,1.3203125000000002,1.3203125000000002,139.7544510856148,139.7544510856148,358.0,0.0,0.0
1,+,1.2562438913931449,1.3463541666666667,1.3463541666666667,127.22545655660433,127.22545655660433,364.0,0.0,0.0
1,+,1.2805426126966872,1.3723958333333333,1.3723958333333333,120.22646315067752,120.22646315067752,367.0,0.0,0.0
1,+,1.3048413340002298,1.3984375000000002,1.3984375000000002,115.38696613259606,115.38696613259606,369.0,0.0,0.0
1,+,1.3291400553037722,1.4244791666666667,1.4244791666666667,113.00111606995142,113.00111606995142,375.0,0.0,0.0
1,+,1.3534387766073146,1.4505208333333333,1.4505208333333333,112.92217363683005,112.92217363683005,376.0,0.0,0.0
1,+,1.3777374979108572,1.4765625000000002,1.4765625000000002,109.5140510576328,109.5140510576328,380.0,0.0,0.0
1,+,1.4020362192143996,1.5026041666666667,1.5026041666666667,104.22522746469457,104.22522746469457,385.0,0.0,0.0
1,+,1.426334940517942,1.5286458333333333,1.5286458333333333,102.11319602595253,102.11319602595253,388.0,0.0,0.0
1,+,1.4506336618214846,1.5546875000000002,1.5546875000000002,99.87761380919066,99.87761380919066,394.0,0.0,0.0
1,+,1.474932383125027,1.5807291666666667,1.5807291666666667,101.19715438802709,101.19715438802709,399.0,0.0,0.0
1,+,1.4992311044285693,1.6067708333333333,1.6067708333333333,101.07027814687862,101.07027814687862,401.0,0.0,0.0
1,+,1.523529825732112,1.6328125000000002,1.6328125000000002,97.81297366289537,97.81297366289537,407.0,0.0,0.0
1,+,1.5478285470356543,1.6588541666666667,1.6588541666666667,95.4801095754476,95.4801095754476,411.0,0.0,0.0
1,+,1.5721272683391967,1.6848958333333333,1.6848958333333333,93.95054071725055,93.95054071725055,418.0,0.0,0.0
1,+,1.5964259896427393,1.7109375000000002,1.7109375000000002,95.47032031047578,95.47032031047578,421.0,0.0,0.0
1,+,1.6207247109462817,1.7369791666666667,1.7369791666666667,96.55593914766426,96.55593914766426,429.0,0.0,0.0
1,+,1.645023432249824,1.7630208333333333,1.7630208333333333,96.971773151133,96.971773151133,431.0,0.0,0.0
1,+,1.6693221535533667,1.7890625000000002,1.7890625000000002,94.83478290414918,94.83478290414918,438.0,0.0,0.0
1,+,1.693620874856909,1.8151041666666667,1.8151041666666667,94.33342670637737,94.33342670637737,443.0,0.0,0.0
1,+,1.7179195961604514,1.8411458333333333,1.8411458333333333,99.22113567627007,99.22113567627007,451.0,0.0,0.0
1,+,1.742218317463994,1.8671875000000002,1.8671875000000002,104.50811432436198,104.50811432436198,455.0,0.0,0.0
1,+,1.7665170387675362,1.8932291666666665,1.8932291666666665,112.41917670744094,112.41917670744094,461.0,0.0,0.0
1,+,1.7908157600710788,1.9192708333333333,1.9192708333333333,112.91528721831769,112.91528721831769,471.0,0.0,0.0
