branch,bin,x,x_unit,net_measured_counts_per_pixel_area,net_model_counts_per_pixel_area,uncertainty_scale_counts_per_pixel_area,normalizing_pixel_area
m1_minus,59,11.9,L_reciprocal_lattice_units,1.2650822076424391,0.48774921935546273,0.64534916940687126,1862.4742826197814
m1_minus,60,12.100000000000001,L_reciprocal_lattice_units,1.4545347208042734,0.4559623865504705,0.63010811957113688,1929.1975217401082
m1_minus,61,12.300000000000001,L_reciprocal_lattice_units,1.4951922828819466,0.2651234147437207,0.61556249317824263,2000.8550646557303
m1_minus,62,12.5,L_reciprocal_lattice_units,1.3846081899803051,0.30986485228056776,0.60155172477300911,2077.9526449859345
m1_minus,63,12.700000000000001,L_reciprocal_lattice_units,2.0904049871318273,1.5412907609987179,0.5882430040515918,2161.0670504721234
m1_minus,64,12.9,L_reciprocal_lattice_units,9.927687188383663,8.686983062850528,0.57775802258469799,2250.8592627049202
m1_minus,65,13.100000000000001,L_reciprocal_lattice_units,9.6345563291591354,8.5692943828097956,0.56399106427082613,2348.0907230107387
m1_minus,66,13.300000000000001,L_reciprocal_lattice_units,1.5690067262819898,1.2315863572540144,0.54693286572517197,2453.6436605417234
m1_minus,67,13.5,L_reciprocal_lattice_units,0.87324460352450539,0.25048292740186912,0.53188684825474175,2568.5467647693763
m1_minus,68,13.700000000000001,L_reciprocal_lattice_units,0.82258130923635886,0.13174570495734333,0.51616314216004544,2694.0079864271265
m1_minus,69,13.9,L_reciprocal_lattice_units,1.193536058431409,0.15509522286632502,0.49965842815270445,2831.4569926668914
m1_minus,70,14.100000000000001,L_reciprocal_lattice_units,1.0188277303724775,0.14587512394084232,0.48226749250759599,2982.6009222525336
m1_minus,71,14.300000000000001,L_reciprocal_lattice_units,0.5091991907741088,0.049322851166082309,0.4646470288169976,3149.4988193196455
m1_minus,72,14.5,L_reciprocal_lattice_units,0.32088649063089297,0.036858139658482655,0.44809560816442279,3334.6628788964008
m1_minus,73,14.700000000000001,L_reciprocal_lattice_units,0.24925991948844239,0.036715984700622144,0.4342243619568989,3541.1991555320674
m1_minus,74,14.9,L_reciprocal_lattice_units,0.16100107530224722,0.03894760713478692,0.42537183523836608,3773.0080687011682
m1_minus,75,15.100000000000001,L_reciprocal_lattice_units,0.026414302947888119,0.044254342272568178,0.42459898832041054,4035.0786627063676
m1_minus,76,15.300000000000001,L_reciprocal_lattice_units,0.13754165738640861,0.062886864891663216,0.43543879468441959,4333.9359778415446
m1_minus,77,15.5,L_reciprocal_lattice_units,0.15052862242668166,0.15426492590790883,0.46103549841544583,4678.3511877632545
m1_minus,78,15.700000000000001,L_reciprocal_lattice_units,0.91515813975741123,1.6278211513073053,0.5040275056936544,5080.5314877789497
m1_minus,79,15.9,L_reciprocal_lattice_units,10.913722248993636,11.853578308350865,0.56718491768172496,5558.2586084201639
m1_minus,80,16.100000000000001,L_reciprocal_lattice_units,11.453252991306909,11.543844162070897,0.64826704705189742,6139.1155357148355
m1_minus,81,16.300000000000001,L_reciprocal_lattice_units,0.61293227923381488,1.3773977219463067,0.74926406092601594,6870.0746593408612
m1_minus,82,16.5,L_reciprocal_lattice_units,-0.076380713230090616,0.34718405275318714,0.87526255070558845,7844.6789646149718
m1_minus,83,16.700000000000003,L_reciprocal_lattice_units,-0.1972182361464917,0.11817719158123891,1.0330040512998448,9324.8605263255267
m1_minus,84,16.899999999999999,L_reciprocal_lattice_units,0.066087329493802749,0.085837998343734151,1.3591584076317673,10850.325747353245
m1_plus,0,0.10000000000000001,L_reciprocal_lattice_units,nan,nan,nan,0
m1_plus,1,0.30000000000000004,L_reciprocal_lattice_units,nan,nan,nan,0
m1_plus,2,0.5,L_reciprocal_lattice_units,nan,nan,nan,0
m1_plus,3,0.70000000000000007,L_reciprocal_lattice_units,nan,nan,nan,0
m1_plus,4,0.90000000000000002,L_reciprocal_lattice_units,nan,nan,nan,0
m1_plus,5,1.1000000000000001,L_reciprocal_lattice_units,nan,nan,nan,0
m1_plus,6,1.3000000000000003,L_reciprocal_lattice_units,nan,nan,nan,0
m1_plus,7,1.5,L_reciprocal_lattice_units,nan,nan,nan,0
m1_plus,8,1.7000000000000002,L_reciprocal_lattice_units,-1.2412794335123891,0.13382023096218609,3.8154175239104875,94.710667920808888
m1_plus,9,1.8999999999999999,L_reciprocal_lattice_units,0.27128869757533647,0.82157632984852058,3.2442852760556566,634.72663841279723
m1_plus,10,2.1000000000000001,L_reciprocal_lattice_units,1.46089508301841,0.82811635841801245,3.2320241480308325,748.84593508904095
m1_plus,11,2.3000000000000003,L_reciprocal_lattice_units,1.5794122864952171,0.47476112151573546,3.2155117740725632,774.07488737111146
m1_plus,12,2.5,L_reciprocal_lattice_units,1.8891255502756406,0.56517927124869349,3.1944576559494164,785.24141763772923
m1_plus,13,2.7000000000000002,L_reciprocal_lattice_units,2.4016160882284199,0.71465285461047467,3.1687338403842382,792.60359845373
m1_plus,14,2.9000000000000004,L_reciprocal_lattice_units,2.3015649388439585,0.92649980909999308,3.1382445445090656,798.6890088865664
m1_plus,15,3.1000000000000001,L_reciprocal_lattice_units,2.6935221017322379,1.1426971913406962,3.1031676209611261,804.36230125879342
m1_plus,16,3.3000000000000003,L_reciprocal_lattice_units,2.3619857968026499,1.4190752006020373,3.0634059994450267,809.9875041420629
m1_plus,17,3.5,L_reciprocal_lattice_units,2.0222187735082509,1.7102028331792176,3.0192323434158186,815.74280161528259
m1_plus,18,3.7000000000000002,L_reciprocal_lattice_units,2.6379538009982064,2.1048048139418865,2.9710103056715336,821.72684016529058
m1_plus,19,3.9000000000000004,L_reciprocal_lattice_units,5.4838325129790615,5.3102910299316024,2.9192278907413693,828.00062386158368
